$,administrator,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
code,buyer_code,approval_code,transaction_type,time_of_transfer,date_of_transfer,buyer_acc_scode,owner_acc_scode,approval_status,property_code,broker_code,owner_code
$,payment,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
code,property_code,approval_code,broker_code,security_deposit,maintenance,average_water_tax,average_eb_bill,rent_hike,rent,,
$,rental,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
code,property_code,approval_code,acceptance,bid_value,bid_status,buyer_code,,,,,
$,property_bidding,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
code,registration_code,property_code,approval_code,transaction_code,date_of_reg,stamp_value,owner_code,buyer_code,,,
$,registration,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
code ,property_code,market,school,airport,raw_materials,hospital,library,,,,
$,geographic_advantage,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
code ,property_code,clubhouse,pool,play_ground,assistance,security_facility,,,,,
$,amenities,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
code,property_subcode,tenant_code,phone_number_code,aadhar_number,aadhar_card,identity_proof,email,image,,,
$,tenants,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
code,property_code,current_tenant,broker_code,,,,,,,,
$,coliving,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
code,document_code,document,document_legitimacy,,,,,,,,
$,property_documentation,,,,,,,,,,
